prop_id,slug,fate,fate_vehicle,furthest_stage,furthest_stage_vehicle,dropped_in_consolidation,final_vehicles,all_vehicles,roll_calls,detail,fate_citation,stage_citation
P-015,minors-targeted-ads-ban,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-016,data-broker-registration-ocabr,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-017,civil-rights-nondiscrimination,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-018,algorithm-impact-assessments,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-019,centralized-opt-out-mechanism,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-020,privacy-security-officers,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-021,large-holder-privacy-impact-assessment,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-022,service-provider-third-party-duties,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-023,comprehensive-private-right-of-action,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-024,comprehensive-ag-enforcement,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-025,complaint-retaliation-ban,died_no_recorded_action,H4632,reported_favorably,H4632,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632,https://malegislature.gov/Bills/193/H4632
P-026,legal-request-transparency-reports,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-027,interactive-computer-service-carveout,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-028,workplace-surveillance-limits,died_no_recorded_action,H83,reporting_extended,H83,yes,H83;S25,H83;S25,,"dropped in consolidation: H83,S25 superseded by H4632,S2770 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H83,https://malegislature.gov/Bills/193/H83
P-031,gdpr-processing-principles,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-032,gdpr-lawful-basis,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-033,gdpr-privacy-notice,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-034,mipsa-optout-sale-ads,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-035,gdpr-sensitive-info-gate,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-037,gdpr-right-delete,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-038,gdpr-right-correct,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-039,mipsa-right-revoke-consent,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-040,mipsa-nondiscrimination,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-041,gdpr-processor-contracts,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-042,mipsa-databroker-registration-ag,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-043,gdpr-risk-assessments,sent_to_study,H1555,reporting_extended,H60,yes,H1555;H60;S227,H1555;H60;S227,,"final vehicle H1555 accompanied study order H4517; no public explanation of substance; also dropped in consolidation from H60,S227 (no public explanation)",https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H60
P-044,mipsa-antidiscrimination-processing,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-045,mipsa-ag-enforcement,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-046,mipsa-breach-private-action,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-047,mipsa-privacy-fund,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-048,mipsa-reciprocity,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-049,mipsa-nonprofit-highered-scope,died_no_recorded_action,H60,reporting_extended,H60,yes,H60;S227,H60;S227,,"dropped in consolidation: H60,S227 superseded by H4632 which does not carry this proposition; no public explanation",https://malegislature.gov/Bills/193/H60,https://malegislature.gov/Bills/193/H60
P-051,ibor-child16-parental-consent,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-052,ibor-right-restriction,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-053,ibor-right-object-marketing,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-054,ibor-automated-decisions,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-055,ibor-design-default-records,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-056,ibor-instate-representative,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-057,ibor-security-measures,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-058,ibor-breach-notification-72h,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-059,ibor-data-protection-officer,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-060,ibor-codes-certification,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-061,ibor-cross-border-transfers,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-062,ibor-ag-supervision-fines,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-063,ibor-general-damages-pra,sent_to_study,H1555,heard,H1555,no,H1555,H1555,,final vehicle H1555 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1555,https://malegislature.gov/Bills/193/H1555
P-065,data-seller-dor-registration,died_no_recorded_action,S1896,reported_favorably,S1896,no,S1896,S1896,,final vehicle S1896 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S1896,https://malegislature.gov/Bills/193/S1896
P-066,ice-data-sale-ban,died_no_recorded_action,S1896,reported_favorably,S1896,no,S1896,S1896,,final vehicle S1896 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S1896,https://malegislature.gov/Bills/193/S1896
P-067,police-officer-pii-posting-ban,sent_to_study,H1428,heard,H1428,no,H1428,H1428,,final vehicle H1428 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1428,https://malegislature.gov/Bills/193/H1428
P-068,isp-optin-consent,died_no_recorded_action,H3179,reporting_extended,H3179,no,H3179;S218,H3179;S218,,final vehicle H3179 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H3179,https://malegislature.gov/Bills/193/H3179
P-069,isp-sale-written-authorization,died_no_recorded_action,H3179,reporting_extended,H3179,no,H3179,H3179,,final vehicle H3179 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H3179,https://malegislature.gov/Bills/193/H3179
P-070,muni-isp-data-minimization,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-071,muni-isp-collection-notice,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-072,muni-isp-thirdparty-optin,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-073,muni-isp-anonymous-wifi,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-074,muni-isp-data-profile-access,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-075,muni-isp-breach-notice,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-076,muni-isp-warrant-requirement,sent_to_study,H3831,referred,H3831,no,H3831,H3831,,final vehicle H3831 accompanied study order H4578; no public explanation of substance,https://malegislature.gov/Bills/193/H3831,https://malegislature.gov/Bills/193/H3831
P-081,biometric-collection-consent,died_no_recorded_action,S195,reported_favorably,S195,yes,H63;S195,H63;S195,,final vehicle S195 ended with no further action; no public explanation; also dropped in consolidation from H63 (no public explanation),https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-082,biometric-privacy-policy-retention,died_no_recorded_action,S195,reported_favorably,S195,yes,H63;S195,H63;S195,,final vehicle S195 ended with no further action; no public explanation; also dropped in consolidation from H63 (no public explanation),https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-083,biometric-disclosure-limits,died_no_recorded_action,S195,reported_favorably,S195,yes,H63;S195,H63;S195,,final vehicle S195 ended with no further action; no public explanation; also dropped in consolidation from H63 (no public explanation),https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-084,biometric-monetization-ban,died_no_recorded_action,S195,reported_favorably,S195,yes,H63;S195,H63;S195,,final vehicle S195 ended with no further action; no public explanation; also dropped in consolidation from H63 (no public explanation),https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-085,biometric-security-standard,died_no_recorded_action,S195,reported_favorably,S195,yes,H63;S195,H63;S195,,final vehicle S195 ended with no further action; no public explanation; also dropped in consolidation from H63 (no public explanation),https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-086,biometric-warrant-notice,died_no_recorded_action,H63,reporting_extended,H63,yes,H63,H63,,dropped in consolidation: H63 superseded by H4632 which does not carry this proposition; no public explanation,https://malegislature.gov/Bills/193/H63,https://malegislature.gov/Bills/193/H63
P-087,biometric-warrant-transparency-reports,died_no_recorded_action,H63,reporting_extended,H63,yes,H63,H63,,dropped in consolidation: H63 superseded by H4632 which does not carry this proposition; no public explanation,https://malegislature.gov/Bills/193/H63,https://malegislature.gov/Bills/193/H63
P-088,biometric-enforcement-pra,died_no_recorded_action,S195,reported_favorably,S195,yes,H63;S195,H63;S195,,final vehicle S195 ended with no further action; no public explanation; also dropped in consolidation from H63 (no public explanation),https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-089,commercial-establishment-biometric-id-ban,died_no_recorded_action,S195,reported_favorably,S195,no,S195,S195,,final vehicle S195 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S195,https://malegislature.gov/Bills/193/S195
P-091,93h-personal-info-biometric,died_no_recorded_action,H281,reported_favorably,S2539,no,H281;S140;S2539,H281;H76;S140;S2539;S30,,final vehicle H281 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H281,https://malegislature.gov/Bills/193/S2539
P-092,93h-personal-info-dob,died_no_recorded_action,S2539,reported_favorably,S2539,no,S2539,H76;S198;S2539;S30,,final vehicle S2539 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S2539,https://malegislature.gov/Bills/193/S2539
P-093,93h-personal-info-expanded-categories,died_no_recorded_action,S2539,reported_favorably,S2539,no,S2539,H76;S2539;S30,,final vehicle S2539 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S2539,https://malegislature.gov/Bills/193/S2539
P-094,93h-login-credentials-breach,died_no_recorded_action,S2539,reported_favorably,S2539,no,S2539,H76;S2539;S30,,final vehicle S2539 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S2539,https://malegislature.gov/Bills/193/S2539
P-095,93h-breach-definition-modernization,died_no_recorded_action,S2539,reported_favorably,S2539,no,S2539,H76;S2539;S30,,final vehicle S2539 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S2539,https://malegislature.gov/Bills/193/S2539
P-096,93h-breach-harm-threshold,died_no_recorded_action,H281,reported_favorably,S2539,no,H281;S2539,H281;H76;S2539;S30,,final vehicle H281 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H281,https://malegislature.gov/Bills/193/S2539
P-097,93h-notice-content-modernization,died_no_recorded_action,H281,reported_favorably,S2539,no,H281;S2539,H281;H76;S2539;S30,,final vehicle H281 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H281,https://malegislature.gov/Bills/193/S2539
P-098,93h-notify-fbi,died_no_recorded_action,S2539,reported_favorably,S2539,no,S2539,S2539,,final vehicle S2539 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S2539,https://malegislature.gov/Bills/193/S2539
P-099,93h-security-program-mandate,died_no_recorded_action,H281,reporting_extended,H281,no,H281,H281,,final vehicle H281 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H281,https://malegislature.gov/Bills/193/H281
P-100,93h-personal-info-public-records-exclusion,died_no_recorded_action,H281,reporting_extended,H281,no,H281,H281,,final vehicle H281 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H281,https://malegislature.gov/Bills/193/H281
P-101,breach-reporting-insurance-protection,died_no_recorded_action,S2539,reported_favorably,S2539,no,S2539,S2539,,final vehicle S2539 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/S2539,https://malegislature.gov/Bills/193/S2539
P-121,location-consent-regime,died_no_recorded_action,H357,in_second_branch,H4844,no,H357;H4632;H4844;S148;S2770,H357;H4632;H4844;S148;S2770,2024-07-10 Passed to be engrossed -,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4844
P-122,location-targeted-ad-optout,died_no_recorded_action,H357,in_second_branch,H4844,no,H357;H4632;H4844;S148;S2770,H357;H4632;H4844;S148;S2770,2024-07-10 Passed to be engrossed -,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4844
P-125,location-govt-access-warrant-gate,died_no_recorded_action,H357,in_second_branch,H4844,no,H357;H4632;H4844;S148;S2770,H357;H4632;H4844;S148;S2770,2024-07-10 Passed to be engrossed -,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4844
P-126,location-govt-monetization-ban,died_no_recorded_action,H357,reported_favorably,H4632,no,H357;H4632;S148;S2770,H357;H4632;S148;S2770,,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4632
P-127,location-privacy-policy-duty,died_no_recorded_action,H357,in_second_branch,H4844,no,H357;H4632;H4844;S148;S2770,H357;H4632;H4844;S148;S2770,2024-07-10 Passed to be engrossed -,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4844
P-128,location-warrant-transparency-reports,died_no_recorded_action,H357,reporting_extended,H357,no,H357;S148,H357;S148,,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H357
P-129,location-anti-retaliation,died_no_recorded_action,H357,in_second_branch,H4844,no,H357;H4632;H4844;S148;S2770,H357;H4632;H4844;S148;S2770,2024-07-10 Passed to be engrossed -,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4844
P-130,location-private-enforcement,died_no_recorded_action,H357,reported_favorably,H4632,no,H357;H4632;S148;S2770,H357;H4632;S148;S2770,,final vehicle H357 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H357,https://malegislature.gov/Bills/193/H4632
P-131,stored-records-warrant-requirement,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-132,warrant-subject-notice,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-133,out-of-state-warrant-comity,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-134,warrant-court-reporting,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-135,reverse-warrant-ban,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-136,cell-site-simulator-limits,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-137,stored-records-violation-remedies,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-138,library-records-shield,sent_to_study,H1653,heard,H1653,no,H1653;S27,H1653;S27,,final vehicle H1653 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1653,https://malegislature.gov/Bills/193/H1653
P-139,carrier-emergency-location-disclosure,sent_to_study,H1519,heard,H1519,no,H1519,H1519,,final vehicle H1519 accompanied study order H4517; no public explanation of substance,https://malegislature.gov/Bills/193/H1519,https://malegislature.gov/Bills/193/H1519
P-141,edtech-operator-targeted-ad-ban,died_no_recorded_action,H532,reported_favorably,H532,no,H532;S280,H532;S280,,final vehicle H532 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H532,https://malegislature.gov/Bills/193/H532
